x,y,z,class,intensity
-10.00,-18.00,0.20,ground,0.35
-10.00,-6.00,0.20,ground,0.35
-10.00,6.00,0.20,ground,0.35
-10.00,18.00,0.20,ground,0.35
-10.00,30.00,0.20,ground,0.35
10.00,-18.00,0.20,ground,0.35
10.00,-6.00,0.20,ground,0.35
10.00,6.00,0.20,ground,0.35
10.00,18.00,0.20,ground,0.35
10.00,30.00,0.20,ground,0.35
30.00,-18.00,0.20,ground,0.35
30.00,-6.00,0.20,ground,0.35
30.00,6.00,0.20,ground,0.35
30.00,18.00,0.20,ground,0.35
30.00,30.00,0.20,ground,0.35
50.00,-18.00,0.20,ground,0.35
50.00,-6.00,0.20,ground,0.35
50.00,6.00,0.20,ground,0.35
50.00,18.00,0.20,ground,0.35
50.00,30.00,0.20,ground,0.35
70.00,-18.00,0.20,ground,0.35
70.00,-6.00,0.20,ground,0.35
70.00,6.00,0.20,ground,0.35
70.00,18.00,0.20,ground,0.35
70.00,30.00,0.20,ground,0.35
90.00,-18.00,0.20,ground,0.35
90.00,-6.00,0.20,ground,0.35
90.00,6.00,0.20,ground,0.35
90.00,18.00,0.20,ground,0.35
90.00,30.00,0.20,ground,0.35
110.00,-18.00,0.20,ground,0.35
110.00,-6.00,0.20,ground,0.35
110.00,6.00,0.20,ground,0.35
110.00,18.00,0.20,ground,0.35
110.00,30.00,0.20,ground,0.35
130.00,-18.00,0.20,ground,0.35
130.00,-6.00,0.20,ground,0.35
130.00,6.00,0.20,ground,0.35
130.00,18.00,0.20,ground,0.35
130.00,30.00,0.20,ground,0.35
150.00,-18.00,0.20,ground,0.35
150.00,-6.00,0.20,ground,0.35
150.00,6.00,0.20,ground,0.35
150.00,18.00,0.20,ground,0.35
150.00,30.00,0.20,ground,0.35
170.00,-18.00,0.20,ground,0.35
170.00,-6.00,0.20,ground,0.35
170.00,6.00,0.20,ground,0.35
170.00,18.00,0.20,ground,0.35
170.00,30.00,0.20,ground,0.35
190.00,-18.00,0.20,ground,0.35
190.00,-6.00,0.20,ground,0.35
190.00,6.00,0.20,ground,0.35
190.00,18.00,0.20,ground,0.35
190.00,30.00,0.20,ground,0.35
210.00,-18.00,0.20,ground,0.35
210.00,-6.00,0.20,ground,0.35
210.00,6.00,0.20,ground,0.35
210.00,18.00,0.20,ground,0.35
210.00,30.00,0.20,ground,0.35
230.00,-18.00,0.20,ground,0.35
